init_x,init_y,init_z,init_j1,init_j2,init_j3,init_j4,init_j5,init_j6,tgt_x,tgt_y,tgt_z,tgt_j1,tgt_j2,tgt_j3,tgt_j4,tgt_j5,tgt_j6
0.364738,0.028814,0.444586,0.072427,-0.340717,-0.492508,-0.019795,-0.627542,-3.070786,0.534143,0.038011,0.484017,0.059636,0.167564,-1.170470,-0.055017,-0.458343,-3.038879
0.309061,0.012813,0.450299,-0.059360,-0.586515,-0.332683,-0.272152,-0.557027,-2.868918,0.484602,0.029109,0.459355,0.040853,0.041191,-0.935527,-0.080035,-0.567695,-3.022789
0.358210,0.010496,0.501767,-0.102904,-0.457648,-0.592373,-0.441915,-0.446807,-2.703188,0.515269,0.044310,0.482770,0.087247,0.109516,-1.092069,0.006753,-0.478138,-3.091163
0.351541,0.018184,0.497089,-0.034305,-0.483778,-0.548722,-0.277871,-0.442349,-2.846395,0.490322,-0.013296,0.451566,-0.107456,0.078644,-0.964483,-0.341636,-0.600227,-2.821585
0.324378,0.026333,0.448067,0.075151,-0.514098,-0.368943,-0.016323,-0.577697,-3.072833,0.500089,0.040230,0.450781,0.077458,0.105400,-0.987209,-0.012103,-0.578903,-3.076121
0.339645,0.028729,0.441412,0.084769,-0.433225,-0.406994,0.001109,-0.620462,-3.086344,0.569172,0.000376,0.442113,-0.053454,0.335429,-1.278423,-0.271641,-0.532833,-2.865390
0.378792,0.020558,0.512368,-0.017993,-0.397069,-0.661397,-0.254827,-0.413585,-2.862715,0.568575,0.008933,0.475542,-0.039093,0.291100,-1.318561,-0.285661,-0.448330,-2.840498
0.294437,0.015938,0.439717,-0.026165,-0.634704,-0.266769,-0.204744,-0.568066,-2.924498,0.487894,0.038734,0.531908,0.071621,-0.033678,-1.068275,-0.035371,-0.358922,-3.053780
0.344454,0.013729,0.475038,-0.049435,-0.479258,-0.484456,-0.273520,-0.511994,-2.860532,0.575692,-0.010000,0.472597,-0.095487,0.324594,-1.364720,-0.417582,-0.453130,-2.726069
0.324839,0.027026,0.532470,0.096905,-0.632338,-0.543779,0.045229,-0.284831,-3.127506,0.512554,-0.007627,0.502480,-0.111378,0.085466,-1.139612,-0.463706,-0.446314,-2.683693
0.332273,0.022697,0.436584,0.044409,-0.454143,-0.375623,-0.066848,-0.631894,-3.035947,0.508385,0.013887,0.442036,-0.011521,0.143206,-1.009738,-0.168812,-0.600300,-2.956423
0.376977,-0.010300,0.437108,-0.138677,-0.269891,-0.538812,-0.356434,-0.680703,-2.828948,0.530797,-0.004783,0.476209,-0.083120,0.170771,-1.160737,-0.355271,-0.495653,-2.788750
0.332609,0.010657,0.438096,-0.045382,-0.455006,-0.382888,-0.218606,-0.633306,-2.922746,0.533189,-0.000902,0.440636,-0.057629,0.224643,-1.116827,-0.257988,-0.582741,-2.884470
0.292160,0.017850,0.439053,-0.003710,-0.645211,-0.257269,-0.163851,-0.563846,-2.956428,0.501231,-0.015123,0.446940,-0.109021,0.120572,-1.002581,-0.342417,-0.604241,-2.821842
0.350819,0.000102,0.463207,-0.127937,-0.425706,-0.494175,-0.395289,-0.574252,-2.772400,0.530348,0.044582,0.441734,0.083692,0.214440,-1.101570,-0.000785,-0.573552,-3.084902
0.320413,0.021061,0.433166,0.035286,-0.497328,-0.333066,-0.082241,-0.631769,-3.024510,0.525102,0.037525,0.456423,0.062013,0.174612,-1.094695,-0.042672,-0.540969,-3.051381
0.331817,0.028350,0.466309,0.087666,-0.518190,-0.423381,0.007102,-0.519120,-3.091288,0.518208,-0.013417,0.455013,-0.103288,0.161105,-1.081580,-0.352236,-0.566542,-2.805791
0.307035,0.011649,0.457248,-0.086620,-0.608221,-0.343791,-0.339182,-0.532326,-2.809496,0.578962,0.021709,0.441068,0.006898,0.365508,-1.315316,-0.156086,-0.515776,-2.958038
0.298294,0.030129,0.532177,0.036127,-0.743971,-0.479718,-0.200686,-0.241529,-2.895826,0.513357,0.003171,0.434413,-0.044381,0.172395,-1.024900,-0.221340,-0.618883,-2.918551
0.369038,0.033020,0.495179,0.099876,-0.412427,-0.591891,0.035521,-0.456600,-3.115653,0.490523,0.024719,0.466966,0.022635,0.048333,-0.968740,-0.118432,-0.543171,-2.990822
0.368389,0.004766,0.494077,-0.118900,-0.406336,-0.609407,-0.445513,-0.483659,-2.708347,0.499035,0.051010,0.468712,0.116341,0.078588,-1.010471,0.063416,-0.529618,-3.136689
0.336354,0.019017,0.500762,-0.049811,-0.549388,-0.515615,-0.335080,-0.415394,-2.792012,0.566187,0.003498,0.486839,-0.061214,0.273339,-1.331679,-0.356549,-0.425046,-2.774595
0.379342,0.021327,0.484458,0.011257,-0.359229,-0.604805,-0.151167,-0.501170,-2.960792,0.499414,0.028930,0.448247,0.038920,0.105423,-0.979598,-0.081056,-0.587911,-3.023033
0.377155,-0.002756,0.452954,-0.111453,-0.305578,-0.558302,-0.337880,-0.621953,-2.829303,0.497158,0.040622,0.459379,0.079522,0.082996,-0.986372,-0.008641,-0.557322,-3.078690
0.360810,-0.010614,0.453440,-0.169766,-0.361415,-0.517275,-0.440650,-0.625177,-2.749030,0.537515,0.034226,0.458061,0.048628,0.210925,-1.148516,-0.070530,-0.524099,-3.028360
0.339099,0.020314,0.493177,-0.015664,-0.530227,-0.501410,-0.235032,-0.439125,-2.883169,0.526277,-0.011826,0.505127,-0.125894,0.131227,-1.209611,-0.518992,-0.430932,-2.630394
0.374538,0.026164,0.452674,0.052307,-0.321084,-0.535986,-0.055667,-0.604281,-3.043216,0.503170,-0.001261,0.464488,-0.069268,0.095960,-1.025158,-0.294943,-0.549637,-2.849157
0.318721,0.018811,0.446111,0.009475,-0.535706,-0.349027,-0.135691,-0.579859,-2.980081,0.546196,0.045692,0.481003,0.082901,0.211909,-1.219729,-0.002770,-0.452863,-3.083158
0.376490,0.003760,0.442892,-0.069963,-0.291057,-0.534862,-0.255057,-0.649207,-2.897939,0.571519,0.030488,0.468506,0.029362,0.306848,-1.313986,-0.123735,-0.456407,-2.980408
0.327842,0.005344,0.437517,-0.087065,-0.471340,-0.371311,-0.288838,-0.636490,-2.870102,0.545038,0.034014,0.445402,0.047621,0.252530,-1.165841,-0.069625,-0.548376,-3.030117
0.376300,-0.013418,0.446779,-0.162490,-0.289747,-0.555826,-0.410740,-0.653061,-2.780385,0.520273,0.010733,0.517683,-0.053345,0.089982,-1.184181,-0.367236,-0.389058,-2.758885
0.310603,0.016525,0.473485,-0.058573,-0.622749,-0.383618,-0.315209,-0.473379,-2.818968,0.529056,0.005380,0.457149,-0.042957,0.186474,-1.117155,-0.246425,-0.542572,-2.887498
0.298949,0.020757,0.477986,-0.028955,-0.685710,-0.357088,-0.271641,-0.431184,-2.850265,0.507508,0.016072,0.504752,-0.023653,0.057538,-1.100014,-0.259167,-0.430298,-2.861047
0.368458,0.013332,0.486085,-0.048826,-0.401058,-0.579568,-0.280694,-0.495592,-2.851948,0.575960,0.046304,0.487717,0.076664,0.303181,-1.365138,-0.019086,-0.398785,-3.068751
0.305841,0.003880,0.449125,-0.148128,-0.590820,-0.334575,-0.433644,-0.575683,-2.741241,0.497155,0.038014,0.444878,0.070759,0.105285,-0.968170,-0.023592,-0.597917,-3.067494
0.332766,0.028461,0.485975,0.089046,-0.547020,-0.463363,0.011246,-0.450322,-3.095094,0.559914,0.007532,0.502521,-0.056624,0.237020,-1.329975,-0.374250,-0.391272,-2.752933
0.334657,0.022856,0.446175,0.042420,-0.466316,-0.397793,-0.073687,-0.597741,-3.029191,0.572009,-0.002499,0.472286,-0.072866,0.309419,-1.338517,-0.360642,-0.455960,-2.776560
0.301772,0.004718,0.436005,-0.124670,-0.582804,-0.293561,-0.365803,-0.613711,-2.805514,0.545712,0.021366,0.450482,0.008058,0.246650,-1.174926,-0.148192,-0.536918,-2.966374
0.341813,0.025901,0.473045,0.057754,-0.488817,-0.465624,-0.054005,-0.506821,-3.041209,0.483907,0.020060,0.497921,-0.003405,-0.013620,-0.992953,-0.196406,-0.461378,-2.918920
0.353618,0.025510,0.498995,0.038428,-0.479885,-0.551902,-0.108868,-0.431029,-2.991602,0.538398,-0.004976,0.478069,-0.084022,0.193408,-1.196988,-0.366112,-0.483181,-2.777023
0.340970,0.026678,0.528006,-0.007384,-0.559783,-0.586481,-0.287127,-0.326441,-2.822957,0.517947,0.006820,0.505927,-0.060046,0.093572,-1.152636,-0.354422,-0.424013,-2.776300
0.375754,0.016034,0.506851,-0.049289,-0.400560,-0.645147,-0.320134,-0.433529,-2.808130,0.511965,0.033414,0.525322,0.039757,0.051926,-1.149949,-0.123760,-0.365103,-2.974754
0.345707,0.013636,0.473816,-0.047829,-0.472166,-0.485692,-0.267589,-0.517285,-2.866287,0.534928,0.041102,0.440325,0.071768,0.229927,-1.118282,-0.022664,-0.572435,-3.067831
0.282977,0.012055,0.452781,-0.134904,-0.713085,-0.275197,-0.454549,-0.514170,-2.707905,0.498813,-0.010505,0.509481,-0.130979,0.035948,-1.105282,-0.520101,-0.441006,-2.631849
0.378613,0.019368,0.501543,-0.015480,-0.385044,-0.637751,-0.230321,-0.447694,-2.888278,0.564592,-0.001954,0.454927,-0.064198,0.304693,-1.275664,-0.306417,-0.508516,-2.832447
0.342023,0.023794,0.526594,-0.063572,-0.550227,-0.599949,-0.452142,-0.341340,-2.672776,0.513321,0.038508,0.495180,0.065854,0.087043,-1.101822,-0.042077,-0.446229,-3.049577
0.366398,0.011622,0.487455,-0.063945,-0.410045,-0.578183,-0.315571,-0.492023,-2.821854,0.546876,0.035372,0.463584,0.049933,0.233460,-1.196158,-0.071049,-0.498980,-3.026893
0.367057,-0.003830,0.433751,-0.109965,-0.302565,-0.495929,-0.308350,-0.683615,-2.865194,0.571742,-0.011052,0.504200,-0.120667,0.286740,-1.419655,-0.573199,-0.381885,-2.568844
0.364253,-0.002964,0.475350,-0.146828,-0.391054,-0.563862,-0.451441,-0.548555,-2.719302,0.569704,0.017925,0.532651,-0.048190,0.249573,-1.442884,-0.465544,-0.296390,-2.652359
0.336218,0.029477,0.501616,0.101866,-0.553503,-0.505887,0.045127,-0.401641,-3.125088,0.496257,0.031277,0.480927,0.043970,0.047932,-1.011066,-0.083471,-0.498923,-3.016630
0.378666,0.011233,0.479121,-0.051109,-0.351309,-0.598913,-0.270446,-0.525361,-2.865184,0.543682,0.022143,0.484033,0.003318,0.197754,-1.212820,-0.184725,-0.451960,-2.927950
0.363123,0.021067,0.465155,0.018808,-0.389252,-0.519088,-0.123306,-0.555515,-2.987848,0.531930,-0.018563,0.483305,-0.131534,0.173432,-1.193944,-0.474506,-0.484156,-2.683097
0.356233,0.029818,0.508027,0.081512,-0.480134,-0.577684,-0.006613,-0.402871,-3.079719,0.566597,0.050327,0.512571,0.093798,0.249964,-1.364931,0.028375,-0.345838,-3.111137
0.327468,0.016190,0.454919,-0.018104,-0.515312,-0.392527,-0.191929,-0.560576,-2.933761,0.520048,0.032297,0.436348,0.047498,0.188897,-1.050104,-0.064456,-0.600370,-3.036366
0.368286,-0.001370,0.455080,-0.112077,-0.343248,-0.532740,-0.344637,-0.610703,-2.821516,0.519300,0.026842,0.458521,0.027535,0.152048,-1.072449,-0.109044,-0.542735,-2.998317
0.341156,0.028019,0.459018,0.078140,-0.464988,-0.439331,-0.011254,-0.556389,-3.076620,0.484124,0.048441,0.476509,0.113600,0.019045,-0.962620,0.059216,-0.517813,-3.133715
0.337122,0.017937,0.460070,-0.003992,-0.484657,-0.430160,-0.167638,-0.551717,-2.952170,0.522568,0.004399,0.486783,-0.057807,0.128914,-1.136865,-0.314553,-0.471673,-2.819244
0.333192,0.010875,0.489410,-0.114200,-0.542458,-0.493793,-0.453401,-0.463442,-2.696743,0.524803,0.026798,0.491087,0.020391,0.127998,-1.142423,-0.145972,-0.450208,-2.960981
0.348665,-0.013992,0.433107,-0.182089,-0.362963,-0.447256,-0.422605,-0.691227,-2.782183,0.526092,0.000137,0.485378,-0.071612,0.143360,-1.152659,-0.344364,-0.474174,-2.794036
