init_x,init_y,init_z,init_j1,init_j2,init_j3,init_j4,init_j5,init_j6,tgt_x,tgt_y,tgt_z,tgt_j1,tgt_j2,tgt_j3,tgt_j4,tgt_j5,tgt_j6,contact_flag,contact_x,contact_y,contact_z,contact_j1,contact_j2,contact_j3,contact_j4,contact_j5,contact_j6,contact_orient_x_deg,contact_type,sensor_contact_side,sensor_contact_x,sensor_contact_y,sensor_contact_z,sensor_contact_j1,sensor_contact_j2,sensor_contact_j3,sensor_contact_j4,sensor_contact_j5,sensor_contact_j6
0.374124,-0.008627,0.444710,-0.138166,-0.296977,-0.540283,-0.368495,-0.653869,-2.813153,0.508092,0.028298,0.436731,0.036581,0.151116,-1.001386,-0.082316,-0.611881,-3.023354,1,0.433654,0.007781,0.441165,-0.036135,-0.090918,-0.726743,-0.197860,-0.651696,-2.940836,19.317615,S,right,0.433654,0.017781,0.441165,0.005472,-0.091942,-0.724139,-0.129674,-0.648313,-2.990670
0.346627,-0.016984,0.433543,-0.201708,-0.368862,-0.445593,-0.453819,-0.693429,-2.759181,0.550612,-0.013422,0.480708,-0.111228,0.234517,-1.265389,-0.442656,-0.467184,-2.707061,1,0.408576,-0.015902,0.447867,-0.149983,-0.177669,-0.665357,-0.389864,-0.651767,-2.796190,-11.659537,S,right,0.408576,-0.005902,0.447867,-0.105484,-0.183283,-0.656290,-0.317481,-0.643522,-2.849717
0.379003,0.025256,0.511408,0.023980,-0.396350,-0.655484,-0.149471,-0.412753,-2.955103,0.514870,0.002208,0.451878,-0.052176,0.150029,-1.052688,-0.252313,-0.571531,-2.887178,1,0.421456,0.018054,0.492807,-0.010504,-0.218192,-0.760136,-0.200781,-0.490241,-2.918370,10.910986,S,right,0.421456,0.028054,0.492807,0.043418,-0.218476,-0.757241,-0.086619,-0.486424,-3.013412
0.375602,0.009534,0.490802,-0.075620,-0.378574,-0.615603,-0.342860,-0.489549,-2.798173,0.576968,0.038876,0.497166,0.050490,0.296159,-1.383970,-0.091543,-0.374233,-3.004003,1,0.486487,0.025692,0.494306,0.020887,-0.001120,-0.994875,-0.139565,-0.468391,-2.967832,-38.627958,S,right,0.486487,0.035692,0.494306,0.062122,-0.000180,-0.994575,-0.048638,-0.466375,-3.044501
0.328417,-0.008678,0.446409,-0.194967,-0.475853,-0.407439,-0.483512,-0.629719,-2.715919,0.551993,0.049812,0.514981,0.096896,0.198285,-1.302848,0.036405,-0.356326,-3.118218,1,0.473545,0.029289,0.490921,0.038840,-0.039415,-0.939840,-0.096969,-0.483248,-3.004611,7.395036,S,right,0.473545,0.039289,0.490921,0.081399,-0.037664,-0.941068,-0.005835,-0.481956,-3.080645
0.308808,0.009870,0.475790,-0.146858,-0.625925,-0.401654,-0.510763,-0.484118,-2.651148,0.529347,0.032736,0.465383,0.044608,0.174840,-1.123245,-0.079996,-0.513560,-3.020181,1,0.411312,0.020498,0.470953,0.011238,-0.221462,-0.687345,-0.137589,-0.555829,-2.976521,-3.140826,M,right,0.411312,0.030498,0.470953,0.062612,-0.220611,-0.686881,-0.040670,-0.553534,-3.053295
0.364738,0.028814,0.444586,0.072427,-0.340717,-0.492508,-0.019795,-0.627542,-3.070786,0.508564,-0.011177,0.452073,-0.096662,0.134149,-1.036026,-0.330928,-0.582314,-2.826330,1,0.460276,0.002249,0.449559,-0.057141,-0.018607,-0.837091,-0.243912,-0.617993,-2.901147,-24.845905,M,right,0.460276,0.012249,0.449559,-0.018842,-0.020465,-0.833017,-0.178210,-0.614112,-2.950802
0.358210,0.010496,0.501767,-0.102904,-0.457648,-0.592373,-0.441915,-0.446807,-2.703188,0.490017,0.022737,0.468274,0.015112,0.044777,-0.968828,-0.133618,-0.540310,-2.978407,1,0.415299,0.015798,0.487260,-0.020158,-0.231807,-0.730348,-0.214420,-0.507707,-2.909059,11.979516,M,right,0.415299,0.025798,0.487260,0.033807,-0.232491,-0.726931,-0.103797,-0.503398,-3.000096
0.351541,0.018184,0.497089,-0.034305,-0.483778,-0.548722,-0.277871,-0.442349,-2.846395,0.553046,0.037303,0.482157,0.053007,0.231204,-1.249627,-0.072156,-0.443214,-3.023757,1,0.486098,0.030951,0.487118,0.043844,0.006834,-0.981235,-0.085502,-0.487705,-3.014405,-35.721048,S,right,0.486098,0.040951,0.487118,0.083973,0.008742,-0.982885,-0.000313,-0.486538,-3.085253
0.339645,0.028729,0.441412,0.084769,-0.433225,-0.406994,0.001109,-0.620462,-3.086344,0.580941,0.051269,0.437736,0.090557,0.380495,-1.325239,0.012966,-0.515971,-3.096079,1,0.433610,0.037506,0.439980,0.088054,-0.087146,-0.724339,0.006467,-0.649207,-3.090229,-29.844932,L,right,0.433610,0.047506,0.439980,0.129485,-0.083463,-0.728747,0.074572,-0.649698,-3.139904
0.378792,0.020558,0.512368,-0.017993,-0.397069,-0.661397,-0.254827,-0.413585,-2.862715,0.487397,0.053146,0.443179,0.126126,0.082613,-0.934465,0.072918,-0.609981,-3.140660,1,0.418612,0.032506,0.487000,0.069197,-0.219527,-0.737864,-0.030744,-0.503478,-3.060236,-41.052754,L,right,0.418612,0.042506,0.487000,0.122435,-0.216039,-0.741670,0.078883,-0.504208,3.132819
0.344454,0.013729,0.475038,-0.049435,-0.479258,-0.484456,-0.273520,-0.511994,-2.860532,0.575415,0.006897,0.435620,-0.033527,0.362957,-1.296772,-0.229768,-0.537741,-2.900359,1,0.435447,0.011038,0.459508,-0.028348,-0.118637,-0.756864,-0.200683,-0.593847,-2.931003,2.860096,S,right,0.435447,0.021038,0.459508,0.015260,-0.119464,-0.754191,-0.123171,-0.590276,-2.990666
0.376977,-0.010300,0.437108,-0.138677,-0.269891,-0.538812,-0.356434,-0.680703,-2.828948,0.492610,-0.016728,0.465894,-0.125266,0.066828,-0.998708,-0.397860,-0.562360,-2.767443,1,0.440784,-0.013847,0.452992,-0.126991,-0.081160,-0.782681,-0.363365,-0.626044,-2.810349,12.150712,L,right,0.440784,-0.003847,0.452992,-0.086927,-0.085714,-0.774609,-0.295623,-0.619537,-2.861605
0.332609,0.010657,0.438096,-0.045382,-0.455006,-0.382888,-0.218606,-0.633306,-2.922746,0.530549,0.015032,0.489060,-0.021657,0.149989,-1.167502,-0.241572,-0.454060,-2.879374,1,0.440225,0.013035,0.465804,-0.021549,-0.113381,-0.782428,-0.194601,-0.572901,-2.933129,-5.860426,M,right,0.440225,0.023035,0.465804,0.022164,-0.113976,-0.779979,-0.114373,-0.569487,-2.995943
0.350819,0.000102,0.463207,-0.127937,-0.425706,-0.494175,-0.395289,-0.574252,-2.772400,0.512806,0.014021,0.491515,-0.025525,0.089422,-1.098507,-0.245950,-0.463030,-2.876777,1,0.399898,0.004319,0.471784,-0.075241,-0.259648,-0.658976,-0.300881,-0.561143,-2.846409,31.647764,S,right,0.399898,0.014319,0.471784,-0.022161,-0.262696,-0.652434,-0.201748,-0.554052,-2.925124
0.331817,0.028350,0.466309,0.087666,-0.518190,-0.423381,0.007102,-0.519120,-3.091288,0.550405,0.044141,0.446505,0.077250,0.269629,-1.192767,-0.013334,-0.537581,-3.074821,1,0.414720,0.034339,0.458798,0.081096,-0.186790,-0.681396,-0.005382,-0.592501,-3.081384,35.615775,L,right,0.414720,0.044339,0.458798,0.128854,-0.183016,-0.685627,0.079565,-0.593396,3.136624
0.341073,0.001036,0.474403,-0.150662,-0.482363,-0.491599,-0.472463,-0.532908,-2.697335,0.501268,0.047925,0.487898,0.105792,0.059172,-1.045636,0.047141,-0.474644,-3.125049,1,0.414631,0.022566,0.480599,0.018617,-0.225074,-0.713921,-0.130131,-0.525125,-2.980024,-22.879379,S,right,0.414631,0.032566,0.480599,0.071460,-0.223917,-0.713784,-0.025188,-0.523110,-3.065096
0.336354,0.019017,0.500762,-0.049811,-0.549388,-0.515615,-0.335080,-0.415394,-2.792012,0.531598,-0.010519,0.498885,-0.115747,0.153193,-1.215715,-0.481009,-0.440587,-2.666913,1,0.416379,0.006911,0.499993,-0.076998,-0.241429,-0.766653,-0.354742,-0.476874,-2.785596,4.434291,L,right,0.416379,0.016911,0.499993,-0.021702,-0.245035,-0.757505,-0.234568,-0.468619,-2.887223
0.377155,-0.002756,0.452954,-0.111453,-0.305578,-0.558302,-0.337880,-0.621953,-2.829303,0.510951,0.002608,0.495003,-0.069359,0.082699,-1.105798,-0.348899,-0.460544,-2.787625,1,0.426318,-0.000785,0.468405,-0.086903,-0.160477,-0.745972,-0.315992,-0.575542,-2.836956,-30.492698,L,right,0.426318,0.009215,0.468405,-0.041391,-0.163792,-0.739252,-0.232966,-0.569124,-2.902219
0.360810,-0.010614,0.453440,-0.169766,-0.361415,-0.517275,-0.440650,-0.625177,-2.749030,0.559679,-0.014870,0.518028,-0.146713,0.240918,-1.410498,-0.687883,-0.366269,-2.457082,1,0.431998,-0.012137,0.476560,-0.139555,-0.147359,-0.791501,-0.427539,-0.560576,-2.742413,37.972919,S,right,0.431998,-0.002137,0.476560,-0.095865,-0.152890,-0.781113,-0.346264,-0.551800,-2.807575
0.339099,0.020314,0.493177,-0.015664,-0.530227,-0.501410,-0.235032,-0.439125,-2.883169,0.567077,0.013627,0.498900,-0.034550,0.262557,-1.350509,-0.315154,-0.389368,-2.805784,1,0.454269,0.016936,0.496069,-0.015914,-0.109764,-0.881288,-0.217166,-0.478727,-2.903241,11.121763,S,right,0.454269,0.026936,0.496069,0.030649,-0.110365,-0.877938,-0.116412,-0.474977,-2.987820
