init_x,init_y,init_z,init_j1,init_j2,init_j3,init_j4,init_j5,init_j6,tgt_x,tgt_y,tgt_z,tgt_j1,tgt_j2,tgt_j3,tgt_j4,tgt_j5,tgt_j6,contact_flag,contact_x,contact_y,contact_z,contact_j1,contact_j2,contact_j3,contact_j4,contact_j5,contact_j6,contact_orient_x_deg,contact_type,sensor_contact_side,sensor_contact_x,sensor_contact_y,sensor_contact_z,sensor_contact_j1,sensor_contact_j2,sensor_contact_j3,sensor_contact_j4,sensor_contact_j5,sensor_contact_j6
0.363466,0.010433,0.447387,-0.039868,-0.351548,-0.495526,-0.212105,-0.623459,-2.926241,0.545809,0.027751,0.476935,0.023494,0.212781,-1.210045,-0.134198,-0.466835,-2.972256,1,0.489926,0.022444,0.467879,0.014115,0.045056,-0.967959,-0.135276,-0.541554,-2.977176,2.835426,M,left,0.489926,0.012444,0.467879,-0.022748,0.045763,-0.970635,-0.206069,-0.544603,-2.920475
0.366113,-0.016252,0.451150,-0.191627,-0.332564,-0.535990,-0.469125,-0.641640,-2.731137,0.497425,-0.007345,0.528411,-0.139492,0.016886,-1.149036,-0.614803,-0.392057,-2.532562,1,0.439942,-0.011245,0.494589,-0.146104,-0.143875,-0.855648,-0.484588,-0.508467,-2.680457,17.201881,L,left,0.439942,-0.021245,0.494589,-0.188029,-0.136103,-0.870485,-0.567532,-0.520103,-2.611131
0.304257,0.016151,0.469639,-0.066806,-0.645233,-0.358800,-0.330978,-0.477798,-2.806201,0.509486,0.014920,0.465208,-0.013434,0.111731,-1.043473,-0.190567,-0.536403,-2.932037,1,0.384527,0.015670,0.467906,-0.015006,-0.312359,-0.594634,-0.185952,-0.560949,-2.938565,21.763882,M,left,0.384527,0.005670,0.467906,-0.072359,-0.309382,-0.601003,-0.291879,-0.568357,-2.854982
0.329091,0.012236,0.486543,-0.102378,-0.557162,-0.472834,-0.423676,-0.464795,-2.723202,0.570825,0.035697,0.524916,0.032481,0.252743,-1.407261,-0.168872,-0.310156,-2.930285,1,0.496433,0.028477,0.513107,0.025368,0.011189,-1.066009,-0.147060,-0.409621,-2.956983,-24.499153,S,left,0.496433,0.018477,0.513107,-0.017883,0.012161,-1.070840,-0.254684,-0.413354,-2.862812
0.317419,0.010844,0.448761,-0.066252,-0.544485,-0.355727,-0.276530,-0.576776,-2.868751,0.561400,-0.010456,0.463875,-0.092936,0.286624,-1.281604,-0.378191,-0.493918,-2.768813,1,0.406106,0.003101,0.454255,-0.068219,-0.207343,-0.651236,-0.263592,-0.617304,-2.885910,-30.683542,S,left,0.406106,-0.006899,0.454255,-0.115188,-0.202956,-0.658876,-0.343077,-0.624829,-2.825896
0.363540,0.008936,0.478855,-0.075071,-0.407259,-0.554152,-0.322420,-0.520370,-2.821176,0.537532,-0.016302,0.440932,-0.103658,0.242704,-1.146403,-0.344046,-0.582412,-2.815817,1,0.432698,-0.001096,0.463781,-0.083400,-0.131507,-0.760676,-0.303236,-0.588295,-2.849612,-23.790784,M,left,0.432698,-0.011096,0.463781,-0.125922,-0.126764,-0.769326,-0.378278,-0.595686,-2.791313
0.335914,0.022542,0.495601,0.005542,-0.547414,-0.495075,-0.190500,-0.424663,-2.920304,0.491526,0.045864,0.436361,0.099161,0.104398,-0.939407,0.025521,-0.625815,-3.104533,1,0.433133,0.037112,0.458591,0.086728,-0.123241,-0.746156,0.004648,-0.591289,-3.089084,37.260423,S,left,0.433133,0.027112,0.458591,0.042511,-0.125272,-0.744398,-0.074133,-0.592189,-3.028582
0.309061,0.012813,0.450299,-0.059360,-0.586515,-0.332683,-0.272152,-0.557027,-2.868918,0.544873,0.042248,0.475105,0.071905,0.213769,-1.204403,-0.026799,-0.470185,-3.062975,1,0.394955,0.023535,0.459335,0.031900,-0.259257,-0.613714,-0.093434,-0.589579,-3.013575,-17.351898,S,left,0.394955,0.013535,0.459335,-0.021210,-0.258755,-0.616083,-0.187952,-0.593439,-2.940837
0.380032,-0.006440,0.477825,-0.152691,-0.333648,-0.620596,-0.461354,-0.551266,-2.711655,0.530698,0.027322,0.435648,0.030290,0.222239,-1.093428,-0.096050,-0.591469,-3.011675,1,0.425646,0.003781,0.465056,-0.064698,-0.159117,-0.734761,-0.271158,-0.582546,-2.874012,31.945062,S,left,0.425646,-0.006219,0.465056,-0.109208,-0.154954,-0.742586,-0.350497,-0.589682,-2.812217
0.324378,0.026333,0.448067,0.075151,-0.514098,-0.368943,-0.016323,-0.577697,-3.072833,0.575251,0.011317,0.458594,-0.026727,0.331957,-1.323094,-0.240060,-0.480694,-2.884120,1,0.435300,0.019694,0.452722,0.010970,-0.108049,-0.744549,-0.126848,-0.611575,-2.989593,8.594974,L,left,0.435300,0.009694,0.452722,-0.031739,-0.107129,-0.747216,-0.200442,-0.615092,-2.933972
