init_x,init_y,init_z,init_j1,init_j2,init_j3,init_j4,init_j5,init_j6,tgt_x,tgt_y,tgt_z,tgt_j1,tgt_j2,tgt_j3,tgt_j4,tgt_j5,tgt_j6,contact_flag,contact_x,contact_y,contact_z,contact_j1,contact_j2,contact_j3,contact_j4,contact_j5,contact_j6,contact_orient_x_deg,contact_type,sensor_contact_side,sensor_contact_x,sensor_contact_y,sensor_contact_z,sensor_contact_j1,sensor_contact_j2,sensor_contact_j3,sensor_contact_j4,sensor_contact_j5,sensor_contact_j6
0.352946,0.022609,0.495731,0.011542,-0.478002,-0.544889,-0.168920,-0.443026,-2.940691,0.509832,-0.001097,0.435686,-0.058552,0.160395,-1.013914,-0.245546,-0.620364,-2.900278,1,0.421647,0.012228,0.469437,-0.028481,-0.182108,-0.723235,-0.210230,-0.564652,-2.919697,8.133229,M,left,0.421647,0.002228,0.469437,-0.075470,-0.179224,-0.729353,-0.296640,-0.570799,-2.851600
0.313986,-0.006148,0.443340,-0.200156,-0.532423,-0.358426,-0.496591,-0.624943,-2.703816,0.536343,0.049392,0.497788,0.099373,0.162386,-1.205018,0.037325,-0.418296,-3.117933,1,0.393912,0.013816,0.462911,-0.021494,-0.269001,-0.618141,-0.191945,-0.581399,-2.936257,-4.788329,S,right,0.393912,0.023816,0.462911,0.032758,-0.269536,-0.615610,-0.093614,-0.577395,-3.012703
0.339106,0.014087,0.492092,-0.079306,-0.524775,-0.509239,-0.378121,-0.453371,-2.760791,0.519805,0.034901,0.442410,0.055449,0.178803,-1.055974,-0.051690,-0.584081,-3.045559,1,0.437583,0.025430,0.465016,0.033249,-0.121407,-0.769256,-0.093514,-0.571868,-3.012452,-38.685591,M,right,0.437583,0.035430,0.465016,0.077623,-0.119760,-0.770373,-0.011956,-0.570579,-3.076172
0.328349,0.006098,0.466157,-0.118413,-0.526120,-0.429605,-0.400635,-0.538199,-2.759475,0.573824,0.021070,0.433362,0.006913,0.359791,-1.282718,-0.149069,-0.542343,-2.966156,1,0.480963,0.015406,0.445768,-0.006265,0.051435,-0.905682,-0.156838,-0.611778,-2.966816,-21.664368,S,right,0.480963,0.025406,0.445768,0.029642,0.051449,-0.904606,-0.094679,-0.609466,-3.013847
0.333067,0.023291,0.435161,0.048916,-0.447221,-0.376078,-0.058755,-0.638141,-3.042205,0.487257,-0.009651,0.442535,-0.092242,0.081959,-0.937527,-0.302502,-0.625263,-2.857423,1,0.398842,0.009238,0.438307,-0.033606,-0.202956,-0.600681,-0.190296,-0.665104,-2.948193,37.451852,M,right,0.398842,0.019238,0.438307,0.014483,-0.203869,-0.598247,-0.112828,-0.661387,-3.004062
0.378183,0.029474,0.447390,0.070607,-0.295994,-0.540858,-0.022989,-0.623945,-3.068353,0.516170,0.049527,0.512065,0.108837,0.081796,-1.146056,0.063550,-0.397109,-3.141391,1,0.432642,0.037388,0.472915,0.088353,-0.148614,-0.765075,0.008088,-0.547006,-3.091952,36.837118,M,left,0.432642,0.027388,0.472915,0.041661,-0.150659,-0.763450,-0.081070,-0.547935,-3.020978
0.320758,0.009495,0.481858,-0.135621,-0.582810,-0.446224,-0.490126,-0.478226,-2.667874,0.540021,-0.005956,0.507790,-0.106444,0.171808,-1.268027,-0.495605,-0.406981,-2.646078,1,0.390881,0.004553,0.490152,-0.094988,-0.318706,-0.666720,-0.375787,-0.503431,-2.772834,-33.191554,L,left,0.390881,-0.005447,0.490152,-0.150976,-0.311658,-0.680456,-0.487513,-0.516926,-2.680145
0.344398,-0.010010,0.447034,-0.179606,-0.412342,-0.455502,-0.449888,-0.638212,-2.745424,0.516480,-0.019301,0.461059,-0.125075,0.150191,-1.089239,-0.401980,-0.555699,-2.762449,1,0.410438,-0.013576,0.452416,-0.141589,-0.181032,-0.676690,-0.383931,-0.635779,-2.796678,-24.692581,M,right,0.410438,-0.003576,0.452416,-0.096666,-0.186385,-0.667794,-0.309224,-0.627594,-2.852712
0.359476,-0.018816,0.443914,-0.205676,-0.340679,-0.505531,-0.477368,-0.666366,-2.732347,0.514060,0.006825,0.514187,-0.066146,0.073506,-1.154755,-0.386941,-0.405270,-2.743976,1,0.410278,-0.010390,0.467008,-0.137803,-0.207948,-0.698509,-0.404312,-0.589654,-2.768828,-41.721125,L,right,0.410278,-0.000390,0.467008,-0.090819,-0.213442,-0.688782,-0.320865,-0.580518,-2.834030
0.341311,0.020657,0.470418,0.012516,-0.486519,-0.460578,-0.144155,-0.517774,-2.967989,0.556993,0.048955,0.446901,0.090073,0.291060,-1.224145,0.011750,-0.527624,-3.095006,1,0.459257,0.036132,0.457558,0.073808,-0.035999,-0.838767,-0.018534,-0.585989,-3.071214,33.199671,L,right,0.459257,0.046132,0.457558,0.113486,-0.032912,-0.842464,0.052798,-0.585901,-3.126264
